temperature,unit,date,city
21.4,Celsius,2026-04-01,London
18.7,Celsius,2026-04-01,Paris
25.1,Celsius,2026-04-01,Madrid
14.3,Celsius,2026-04-01,Berlin
27.8,Celsius,2026-04-01,Rome
30.2,Celsius,2026-04-01,Dubai
11.5,Celsius,2026-04-01,Toronto
16.9,Celsius,2026-04-02,London
19.3,Celsius,2026-04-02,Paris
24.8,Celsius,2026-04-02,Madrid
15.1,Celsius,2026-04-02,Berlin
28.4,Celsius,2026-04-02,Rome
31.0,Celsius,2026-04-02,Dubai
10.8,Celsius,2026-04-02,Toronto
22.0,Celsius,2026-04-03,London
20.1,Celsius,2026-04-03,Paris
26.3,Celsius,2026-04-03,Madrid
16.0,Celsius,2026-04-03,Berlin
29.1,Celsius,2026-04-03,Rome
32.5,Celsius,2026-04-03,Dubai
12.4,Celsius,2026-04-03,Toronto
20.8,Celsius,2026-04-04,London
17.9,Celsius,2026-04-04,Paris
23.7,Celsius,2026-04-04,Madrid
13.8,Celsius,2026-04-04,Berlin
27.5,Celsius,2026-04-04,Rome
33.1,Celsius,2026-04-04,Dubai
9.7,Celsius,2026-04-04,Toronto
19.6,Celsius,2026-04-05,London
18.5,Celsius,2026-04-05,Paris
24.9,Celsius,2026-04-05,Madrid
14.6,Celsius,2026-04-05,Berlin
28.8,Celsius,2026-04-05,Rome
34.0,Celsius,2026-04-05,Dubai
11.2,Celsius,2026-04-05,Toronto
23.1,Celsius,2026-04-06,London
21.0,Celsius,2026-04-06,Paris
27.4,Celsius,2026-04-06,Madrid
17.2,Celsius,2026-04-06,Berlin
30.0,Celsius,2026-04-06,Rome
35.3,Celsius,2026-04-06,Dubai
13.5,Celsius,2026-04-06,Toronto
24.0,Celsius,2026-04-07,London
22.3,Celsius,2026-04-07,Paris
28.1,Celsius,2026-04-07,Madrid
18.4,Celsius,2026-04-07,Berlin
31.2,Celsius,2026-04-07,Rome
36.1,Celsius,2026-04-07,Dubai
14.1,Celsius,2026-04-07,Toronto
